1,Honiara,Solomon Islands,HIR,AGGH,7218,55,-0.16454965,2.793486607
2,Munda,Solomon Islands,MUA,AGGM,4593,69,-0.145350489,2.74475715
3,Yaren District,Nauru,INU,ANYN,7054,50,-0.009554945,2.913286239
4,Buka Island,Papua New Guinea,BUA,AYBK,5125,65,-0.094637335,2.699553187
5,Kundiawa,Papua New Guinea,CMU,AYCH,3330,90,-0.105143697,2.530221148
6,Daru,Papua New Guinea,DAU,AYDU,4593,46,-0.158593873,2.499450986
7,Goroka,Papua New Guinea,GKA,AYGA,5400,88,-0.106145512,2.537569076
8,Gurney,Papua New Guinea,GUR,AYGN,5546,76,-0.179969619,2.623823271
9,Popondetta,Papua New Guinea,PNP,AYGR,5485,88,-0.153668207,2.58848046
10,Hoskins,Papua New Guinea,HKN,AYHK,5212,44,-0.095332853,2.625062441
11,Kerema,Papua New Guinea,KMA,AYKM,3044,87,-0.138991218,2.544183836
12,Kavieng,Papua New Guinea,KVG,AYKV,5592,37,-0.045019024,2.632096116
13,Madang,Papua New Guinea,MAG,AYMD,5174,68,-0.090880688,2.544498089
14,Mount Hagen,Papua New Guinea,HGU,AYMH,7185,33,-0.101696668,2.518440388
15,Mendi,Papua New Guinea,MDU,AYMN,4411,84,-0.107298305,2.507287609
16,Manus Island,Papua New Guinea,MAS,AYMO,6136,82,-0.035986769,2.573034127
17,Lae,Papua New Guinea,LAE,AYNZ,8004,66,-0.114664694,2.560851397
18,Port Moresby,Papua New Guinea,POM,AYPY,9022,41,-0.16481808,2.569473746
19,Tokua,Papua New Guinea,RAB,AYTK,5643,45,-0.075755315,2.6595328
20,Vanimo,Papua New Guinea,VAI,AYVN,5775,88,-0.046994735,2.466199102
21,Wapenamanda,Papua New Guinea,WBM,AYWD,5052,44,-0.098494167,2.511441602
22,Wewak,Papua New Guinea,WWK,AYWK,5234,86,-0.062549635,2.507497193
23,Aasiaat,Greenland,JEG,BGAA,2621,64,1.199421709,-0.921266783
24,Narsarsuaq,Greenland,UAK,BGBW,6004,90,1.06745209,-0.792833243
25,Nuuk,Greenland,GOH,BGGH,3117,33,1.120342602,-0.901953006
26,Kangerlussuaq,Greenland,SFJ,BGSF,9219,64,1.169583911,-0.885084444
27,Akureyri,Iceland,AEY,BIAR,6365,68,1.145983251,-0.315428128
28,Egilsstaðir,Iceland,EGS,BIEG,6562,34,1.139408572,-0.25135184
29,Höfn,Iceland,HFN,BIHN,4921,86,1.122169932,-0.265764776
30,Húsavík,Iceland,HZK,BIHU,5266,49,1.151084802,-0.304141093
31,Ísafjörður,Iceland,IFJ,BIIS,4593,67,1.152931305,-0.403787153
32,Reykjavík - Keflavik,Iceland,KEF,BIKF,10056,58,1.116748933,-0.394542156
33,Reykjavik,Iceland,RKV,BIRK,5141,73,1.119279601,-0.3829357
34,Siglufjörður,Iceland,SIJ,BISI,3556,72,1.154243848,-0.330158699
35,Vestmannaeyjar,Iceland,VEY,BIVM,3953,78,1.106962881,-0.353933576
36,Prishtina,Kosovo,PRN,BKPR,8165,63,0.743035532,0.367143988
37,Cat Lake,Canada,YAC,CYAC,3900,49,0.902809945,-1.602638146
38,Fort Frances,Canada,YAG,CYAG,4500,51,0.849176011,-1.630830369
39,La Grande-4,Canada,YAH,CYAH,5000,39,0.938196498,-1.285876573
40,Alert Bay,Canada,YAL,CYAL,2900,43,0.882825917,-2.21510208
41,Sault Ste Marie,Canada,YAM,CYAM,6000,58,0.811316313,-1.474967269
42,Kasabonika,Canada,XKS,CYAQ,3500,52,0.934182249,-1.547108707
43,Kangirsuk,Canada,YKG,CYAS,3521,88,1.04767226,-1.221716495
44,Attawapiskat,Canada,YAT,CYAT,3500,87,0.923759169,-1.438708064
45,St. Anthony,Canada,YAY,CYAY,4000,64,0.896957848,-0.978834739
46,Tofino,Canada,YAZ,CYAZ,5000,54,0.856604682,-2.195198042
47,Kugaaruk,Canada,YBB,CYBB,5000,78,1.196150948,-1.567447005
48,Baie-Comeau,Canada,YBC,CYBC,6000,72,0.857523889,-1.190391329
49,Bella Coola,Canada,QBC,CYBD,4200,42,0.914334379,-2.209517037
50,Uranium City,Canada,YBE,CYBE,3930,30,1.039542561,-1.893350675
51,Bonnyville,Canada,YBY,CYBF,4433,69,0.94778707,-1.932847479
53,Baker Lake,Canada,YBK,CYBK,4200,57,1.122227454,-1.676873895
54,Campbell River,Canada,YBL,CYBL,5000,33,0.871805956,-2.186391472
55,Tadoule Lake,Canada,XTL,CYBQ,3200,41,1.024614736,-1.719362226
56,Brandon,Canada,YBR,CYBR,6500,76,0.87109383,-1.744489696
57,Brochet,Canada,YBT,CYBT,3500,67,1.010360632,-1.774633348
58,Berens River,Canada,YBV,CYBV,2900,59,0.913835163,-1.693288822
59,Lourdes-De-Blanc-Sablon,Canada,YBX,CYBX,4500,45,0.897860194,-0.99807175
60,Cartwright,Canada,YRF,CYCA,2500,43,0.936941617,-0.995568978
61,Cambridge Bay,Canada,YCB,CYCB,5000,60,1.2061639,-1.835004278
62,Cornwall,Canada,YCC,CYCC,3500,45,0.787017831,-1.301375105
63,Nanaimo,Canada,YCD,CYCD,6602,30,0.856170745,-2.161936946
64,Centralia,Canada,YCE,CYCE,5012,90,0.755476221,-1.42258822
65,Castlegar,Canada,YCG,CYCG,5300,69,0.860384457,-2.053065772
66,Miramichi,Canada,YCH,CYCH,10006,59,0.820440902,-1.142304085
67,Charlo,Canada,YCL,CYCL,6000,50,0.837597453,-1.157682111
68,Cochrane,Canada,YCN,CYCN,4500,70,0.857054374,-1.413954115
69,Kugluktuk,Canada,YCO,CYCO,5500,73,1.183624773,-2.009641862
70,Chetwynd,Canada,YCQ,CYCQ,4484,57,0.971924967,-2.12279159
71,Cross Lake,Canada,YCR,CYCR,3990,49,0.953134768,-1.706247896
72,Chesterfield Inlet,Canada,YCS,CYCS,3600,31,1.105611992,-1.583556464
73,Clyde River,Canada,YCY,CYCY,3500,73,1.230214509,-1.195842021
74,Dawson City,Canada,YDA,CYDA,5000,80,1.117762931,-2.428241786
75,Burwash,Canada,YDB,CYDB,5000,38,1.071127785,-2.426723252
76,Deer Lake Newf.,Canada,YDF,CYDF,8005,53,0.858890491,-1.001668882
77,Ross River,Canada,XRR,CYDM,5000,79,1.081591012,-2.311217429
78,Dauphin,Canada,YDN,CYDN,5000,49,0.891877203,-1.746236858
79,Dolbeau-St-Félicien,Canada,YDO,CYDO,4971,70,0.851345422,-1.263182046
80,Nain,Canada,YDP,CYDP,2000,66,0.986969697,-1.076524348
81,Dawson Creek,Canada,YDQ,CYDQ,5000,60,0.972886635,-2.097589032
82,Edmonton,Canada,YEG,CYEG,11000,50,0.930429788,-1.982344996
83,Arviat,Canada,YEK,CYEK,4000,51,1.066294946,-1.641845204
84,Elliot Lake,Canada,YEL,CYEL,4500,31,0.808984516,-1.440968289
85,Manitowaning,Canada,YEM,CYEM,3500,34,0.800107801,-1.42869338
86,Estevan,Canada,YEN,CYEN,5000,84,0.858881769,-1.797095777
87,Fort Severn,Canada,YER,CYER,3500,66,0.97771428,-1.53023665
88,Edson,Canada,YET,CYET,6000,80,0.935128204,-2.032697649
89,Inuvik,Canada,YEV,CYEV,6000,81,1.192133169,-2.329717875
90,Amos,Canada,YEY,CYEY,5000,73,0.847600005,-1.365714939
91,Fort Albany,Canada,YFA,CYFA,3500,39,0.911086317,-1.425879883
92,Iqaluit,Canada,YFB,CYFB,8605,80,1.112759134,-1.196524449
93,Fredericton,Canada,YFC,CYFC,8005,63,0.800563335,-1.161293231
94,Forestville,Canada,YFE,CYFE,5000,84,0.850779967,-1.205973618
95,Fort Hope,Canada,YFH,CYFH,3500,72,0.899924943,-1.534280527
96,Rivière Rouge,Canada,YTM,CYFJ,5587,53,0.80999685,-1.305157193
97,Flin Flon,Canada,YFO,CYFO,5000,38,0.954312884,-1.774685676
