F27-600,127943,392,1890,2000,44,pax,f27.png,Fokker,14.72,0.2,33266,350,2,2,1,3,RR Dart 7 Mk.536-7R
F27-200,135138,451,1926,2000,40,pax,f27.png,Fokker,16,0.2,40542,350,2,2,1,3,RR Dart Mk 532
F27-500,336145,575,1826,2000,52,pax,f27.png,Fokker,18.53,0.21,87398,380,2,2,1,3,RR Dart Mk.532-7
F28-1000,660013,908,2000,2000,65,pax,f28.png,Fokker,10.2,0.12,165004,330,2,2,1,3,"RR RB183-2 ""Spey"" Mk555-15"
F27-400,680000,412,1468,2000,40,pax,f27.png,Fokker,17.1,0.24,26246,360,2,2,1,3,RR Dart 7
F28-6000,707020,767,1650,2000,85,pax,f28.png,Fokker,9.1,0.12,155544,400,2,2,1,3,"RR RB183-2 ""Spey"" Mk555-15H"
F28-3000,711521,902,1900,2000,65,pax,f28.png,Fokker,9.18,0.11,170766,390,2,2,1,3,"RR RB183-2 ""Spey"" Mk555-15"
Fokker 50,718458,624,2055,2000,58,pax,f50.png,Fokker,6.79,0.09,114954,380,2,2,1,3,PW125B
Fokker 70,725120,817,2040,2000,70,pax,f70.png,Fokker,9.45,0.11,87014,490,2,2,1,2,RR Tay Mk.620
F27-100,748000,494,1315,2000,44,pax,f27.png,Fokker,20.33,0.24,26968,360,2,2,1,3,RR Dart Mk 582
F28-4000,814144,944,1900,2000,85,pax,f28.png,Fokker,10.4,0.12,175040,350,2,2,1,3,"RR RB183-2 ""Spey"" Mk555-15P"
Fokker 70A,828709,817,2040,2000,80,pax,f70.png,Fokker,9.45,0.11,103588,490,2,2,1,2,RR Tay Mk.620
F100,861279,695,4300,6000,122,pax,f100.png,Fokker,20.68,0.16,81822,400,2,5,2,6,RR Tay Mk.650-15
F28-2000,1100175,908,2743,2000,79,pax,f28.png,Fokker,10.2,0.12,264042,350,2,2,1,3,"RR RB183-2 ""Spey"" Mk555-15"
ARJ21-700,1028514,930,2200,7500,78,pax,arj.png,Comac,9.27,0.11,41140,510,2,3,1,2,General Electric CF34-10A
ARJ21-900,1130706,930,2200,7900,98,pax,arj.png,Comac,10.3,0.12,45228,510,2,2,1,3,General Electric CF34-10A
ARJ21-700ER,1513551,930,3700,7800,78,pax,arj.png,Comac,10.3,0.12,60542,510,2,2,1,3,General Electric CF34-10A
C919,6517748,980,5555,5200,168,pax,c919.png,Comac,11.44,0.12,619186,400,2,3,1,4,LEAP-1C
Tu-104,241193,816,2750,2000,50,pax,tu-104.png,Tupolev,16.8,0.2,77182,330,2,2,1,3,Mikulin AM-3
Tu-124,562598,972,2100,2000,56,pax,tu-104.png,Tupolev,11.44,0.14,160340,380,2,2,1,2,Soloviev D-20P
Tu-104A,627900,765,2750,2000,70,pax,tu-104.png,Tupolev,13.65,0.16,194650,320,2,2,1,3,Mikulin AM-3
Tu-134A,686770,799,2000,2000,76,pax,tu-134a.png,Tupolev,11,0.14,178560,380,2,2,1,4,Soloviev D-30-II
Tu-104D,698913,765,2750,2000,85,pax,tu-104.png,Tupolev,14.7,0.18,216664,360,2,3,1,3,Mikulin AM-3
Tu-104B,742545,795,2650,2000,100,pax,tu-104.png,Tupolev,15.84,0.2,222764,350,2,3,1,4,Mikulin AM-3M-500
Tu-110,1049234,899,3450,2000,100,pax,tu-104.png,Tupolev,17.44,0.2,325262,360,3,3,1,4,Lyulka AL-7
Tu-334-200,1553460,828,2200,2000,126,pax,tu-334.png,Tupolev,9.72,0.11,155346,500,2,3,2,3,D436-T2
Tu-334-220,1610294,799,2200,2000,126,pax,tu-334.png,Tupolev,8.19,0.11,161030,480,2,3,2,3,BR715-56
Tu-334-100,1800602,795,3150,2000,102,pax,tu-334.png,Tupolev,8.1,0.11,180060,450,2,3,1,3,D-436T-1
Tu-334-100D,2343641,828,4100,2000,102,pax,tu-334.png,Tupolev,9.72,0.11,234364,450,2,3,1,3,D436-T2
Tu-334-120D,2600869,733,4100,2000,102,pax,tu-334.png,Tupolev,7.28,0.1,260086,460,2,3,1,3,BR715-56
Tu-154M,4514400,893,4000,2000,180,pax,tu-154.png,Tupolev,13.02,0.18,790020,320,2,4,2,5,Soloviev D-30KU-154
Tu-154,5107721,893,5280,2000,180,pax,tu-154.png,Tupolev,14.88,0.2,1200314,390,3,8,2,4,Soloviev D-30KU-154
Tu-204-300,5991344,833,5800,2000,164,pax,tu-204.png,Tupolev,12.74,0.16,718962,490,3,6,2,4,Aviadvigatel PS-90A
Tu-204-120,6137208,834,4100,2000,210,pax,tu-204.png,Tupolev,11.44,0.14,767152,480,2,4,2,4,RB.211-535E4
Tu-204-100,6436584,729,4300,2000,210,pax,tu-204.png,Tupolev,10.78,0.14,804574,470,2,4,2,4,PS-90A
Tu-214,6497956,729,4341,2000,210,pax,tu-204.png,Tupolev,10.78,0.14,812244,490,2,4,2,5,PS-90A
