1,HIR,AGGH,7218,55,-0.16454965,2.793486607,Honiara,Solomon Islands
2,MUA,AGGM,4593,69,-0.145350489,2.74475715,Munda,Solomon Islands
3,INU,ANYN,7054,50,-0.009554945,2.913286239,Yaren District,Nauru
4,BUA,AYBK,5125,65,-0.094637335,2.699553187,Buka Island,Papua New Guinea
5,CMU,AYCH,3330,90,-0.105143697,2.530221148,Kundiawa,Papua New Guinea
6,DAU,AYDU,4593,46,-0.158593873,2.499450986,Daru,Papua New Guinea
7,GKA,AYGA,5400,88,-0.106145512,2.537569076,Goroka,Papua New Guinea
8,GUR,AYGN,5546,76,-0.179969619,2.623823271,Gurney,Papua New Guinea
9,PNP,AYGR,5485,88,-0.153668207,2.58848046,Popondetta,Papua New Guinea
10,HKN,AYHK,5212,44,-0.095332853,2.625062441,Hoskins,Papua New Guinea
11,KMA,AYKM,3044,87,-0.138991218,2.544183836,Kerema,Papua New Guinea
12,KVG,AYKV,5592,37,-0.045019024,2.632096116,Kavieng,Papua New Guinea
13,MAG,AYMD,5174,68,-0.090880688,2.544498089,Madang,Papua New Guinea
14,HGU,AYMH,7185,33,-0.101696668,2.518440388,Mount Hagen,Papua New Guinea
15,MDU,AYMN,4411,84,-0.107298305,2.507287609,Mendi,Papua New Guinea
16,MAS,AYMO,6136,82,-0.035986769,2.573034127,Manus Island,Papua New Guinea
17,LAE,AYNZ,8004,66,-0.114664694,2.560851397,Lae,Papua New Guinea
18,POM,AYPY,9022,41,-0.16481808,2.569473746,Port Moresby,Papua New Guinea
19,RAB,AYTK,5643,45,-0.075755315,2.6595328,Tokua,Papua New Guinea
20,VAI,AYVN,5775,88,-0.046994735,2.466199102,Vanimo,Papua New Guinea
21,WBM,AYWD,5052,44,-0.098494167,2.511441602,Wapenamanda,Papua New Guinea
22,WWK,AYWK,5234,86,-0.062549635,2.507497193,Wewak,Papua New Guinea
23,JEG,BGAA,2621,64,1.199421709,-0.921266783,Aasiaat,Greenland
24,UAK,BGBW,6004,90,1.06745209,-0.792833243,Narsarsuaq,Greenland
25,GOH,BGGH,3117,33,1.120342602,-0.901953006,Nuuk,Greenland
26,SFJ,BGSF,9219,64,1.169583911,-0.885084444,Kangerlussuaq,Greenland
